,       MaxEStateIndex,       MinEStateIndex,    MaxAbsEStateIndex,    MinAbsEStateIndex,                  qed,                MolWt,       HeavyAtomMolWt,           ExactMolWt,  NumValenceElectrons,  NumRadicalElectrons,     MaxPartialCharge,     MinPartialCharge,  MaxAbsPartialCharge,  MinAbsPartialCharge,     FpDensityMorgan1,     FpDensityMorgan2,     FpDensityMorgan3,             BalabanJ,              BertzCT,                 Chi0,                Chi0n,                Chi0v,                 Chi1,                Chi1n,                Chi1v,                Chi2n,                Chi2v,                Chi3n,                Chi3v,                Chi4n,                Chi4v,        HallKierAlpha,                  Ipc,               Kappa1,               Kappa2,               Kappa3,            LabuteASA,            PEOE_VSA1,           PEOE_VSA10,           PEOE_VSA11,           PEOE_VSA12,           PEOE_VSA13,           PEOE_VSA14,            PEOE_VSA2,            PEOE_VSA3,            PEOE_VSA4,            PEOE_VSA5,            PEOE_VSA6,            PEOE_VSA7,            PEOE_VSA8,            PEOE_VSA9,             SMR_VSA1,            SMR_VSA10,             SMR_VSA2,             SMR_VSA3,             SMR_VSA4,             SMR_VSA5,             SMR_VSA6,             SMR_VSA7,             SMR_VSA8,             SMR_VSA9,           SlogP_VSA1,          SlogP_VSA10,          SlogP_VSA11,          SlogP_VSA12,           SlogP_VSA2,           SlogP_VSA3,           SlogP_VSA4,           SlogP_VSA5,           SlogP_VSA6,           SlogP_VSA7,           SlogP_VSA8,           SlogP_VSA9,          EState_VSA1,         EState_VSA10,         EState_VSA11,          EState_VSA2,          EState_VSA3,          EState_VSA4,          EState_VSA5,          EState_VSA6,          EState_VSA7,          EState_VSA8,          EState_VSA9,          VSA_EState1,         VSA_EState10,          VSA_EState2,          VSA_EState3,          VSA_EState4,          VSA_EState5,          VSA_EState6,          VSA_EState7,          VSA_EState8,          VSA_EState9,         FractionCSP3,       HeavyAtomCount,            NHOHCount,              NOCount,  NumAliphaticCarbocycles,  NumAliphaticHeterocycles,    NumAliphaticRings,  NumAromaticCarbocycles,  NumAromaticHeterocycles,     NumAromaticRings,        NumHAcceptors,           NumHDonors,       NumHeteroatoms,    NumRotatableBonds,  NumSaturatedCarbocycles,  NumSaturatedHeterocycles,    NumSaturatedRings,            RingCount,                MolMR,            fr_Al_COO,             fr_Al_OH,      fr_Al_OH_noTert,               fr_ArN,            fr_Ar_COO,              fr_Ar_N,             fr_Ar_NH,             fr_Ar_OH,               fr_COO,              fr_COO2,               fr_C_O,         fr_C_O_noCOO,               fr_C_S,             fr_HOCCN,             fr_Imine,               fr_NH0,               fr_NH1,               fr_NH2,               fr_N_O,    fr_Ndealkylation1,    fr_Ndealkylation2,         fr_Nhpyrrole,                fr_SH,          fr_aldehyde,   fr_alkyl_carbamate,      fr_alkyl_halide,      fr_allylic_oxid,             fr_amide,           fr_amidine,           fr_aniline,       fr_aryl_methyl,             fr_azide,               fr_azo,          fr_barbitur,           fr_benzene,    fr_benzodiazepine,          fr_bicyclic,             fr_diazo,   fr_dihydropyridine,           fr_epoxide,             fr_ester,             fr_ether,             fr_furan,           fr_guanido,           fr_halogen,           fr_hdrzine,           fr_hdrzone,         fr_imidazole,             fr_imide,           fr_isocyan,       fr_isothiocyan,            fr_ketone,    fr_ketone_Topliss,            fr_lactam,           fr_lactone,           fr_methoxy,        fr_morpholine,           fr_nitrile,             fr_nitro,        fr_nitro_arom,  fr_nitro_arom_nonortho,           fr_nitroso,           fr_oxazole,             fr_oxime,  fr_para_hydroxylation,            fr_phenol,  fr_phenol_noOrthoHbond,         fr_phos_acid,        fr_phos_ester,         fr_piperdine,         fr_piperzine,          fr_priamide,      fr_prisulfonamd,          fr_pyridine,             fr_quatN,           fr_sulfide,         fr_sulfonamd,           fr_sulfone,    fr_term_acetylene,         fr_tetrazole,          fr_thiazole,          fr_thiocyan,         fr_thiophene,     fr_unbrch_alkane,              fr_urea, 
         VSA_EState5,  0.13972,  0.00329, -0.02228,  0.04963, -0.01553, -0.01696,  0.00567, -0.00178, -0.00188,  0.19318, -0.00735,  0.99810,  0.01501,  0.67176,  0.02294,  0.29191,  0.03227,  0.01518,  0.77951,  0.03895, -0.00860,  0.01515,  0.01748,  0.00034,  0.00397,  0.16246,  0.07275,  0.94476, -0.01152,  0.01366,  0.03147, -0.01918,  0.80782,  0.03297, -0.00750,  0.03070,  0.00712, -0.01024, -0.01534, -0.00624,  0.00436,  0.32753, -0.00422,  0.78544,  0.93904, -0.01765, -0.01000,  0.98117, -0.01573, -0.01763,  0.02746,  0.24918, -0.00832,  0.02151,  0.04048,  0.01548, -0.01607,  0.03586, -0.01583, -0.01857,  0.01475, -0.02014,  0.87740,  0.03883,  0.07270, -0.01772, -0.00977,  0.99810,  0.02904, -0.00269, -0.00311,  0.03391,  0.99804,  0.86849,  0.03274, -0.01409,  0.75454,  0.01313, -0.01474,  0.93871, -0.00753,  0.99810, -0.00264,  0.16117, -0.01914,  0.93998,  0.99815, -0.01810,  0.00168,  1.00000,  0.01844,  0.99810, -0.02275,  0.88199, -0.01399,  0.01861,  0.02294,  0.06432,  0.02045,  0.99811,  0.23335,  0.15742, -0.00750,  0.00405, -0.01545,  0.97815,  0.38501, -0.00487,  0.17845,  0.00571,  0.00060,  0.99618,  0.00708,  0.08139, -0.00665,  0.03231,  0.07222,  0.06118,  0.00236,  0.00609, -0.01532, -0.00209, -0.00761,  0.00040, -0.00283,  0.03671, -0.00288,  0.00508,  0.05846,  0.16191, -0.01816, -0.00696, -0.01001,  0.61363,  0.08227,  0.98994,  0.90046, -0.00258,  0.02754, -0.01248, -0.01904, -0.01506,  0.99864, -0.00297, -0.00573,  0.29706, -0.00587, -0.02639, -0.01533, -0.01131,  0.10198,  0.00397, -0.01293, -0.01615,  0.04259, -0.01353, -0.00605, -0.01613,  0.61266,  0.03049,  0.03994,  0.18609,  0.07073,  0.00452,  0.25349,  0.53594,  0.99189, -0.01718, -0.01485,  0.03800, -0.01029,  0.99810, -0.01133, -0.01292, -0.00983,  0.99811, -0.01910, -0.01103,  0.20308,  0.04008, -0.02683,  0.19628, -0.01847, -0.01397, -0.01194, -0.00657,  0.15116,  0.03410,  0.03025,  0.50426,  0.99811,  0.73423,  0.58709,  0.39817,  0.00632,  0.99786, -0.01616,  0.00845, 
         VSA_EState6,  0.26536, -0.12815,  0.03129,  0.07006,  0.23896,  0.23326, -0.02762, -0.08255,  0.07598,  0.23013, -0.04984,  0.01571,  0.11076,  0.07833, -0.14788,  0.12792, -0.08994,  0.28504,  0.15198, -0.02075,  0.11514, -0.07412,  0.03663,  0.35683, -0.08645, -0.03240, -0.05864,  0.03298,  0.08423, -0.07977, -0.10504,  0.20378,  0.02930, -0.04878, -0.05954, -0.02976,  0.29523, -0.07744,  0.11894, -0.02864,  0.10968,  0.07103,  0.20442,  0.33835,  0.13753, -0.00879, -0.19327,  0.00922,  0.27044,  0.03702, -0.02700,  0.16548, -0.12974,  0.09845, -0.01185,  0.37922,  0.01315,  0.30188,  0.41129, -0.00112, -0.02292,  0.02174, -0.00480, -0.04459,  0.01288,  0.56512, -0.03447,  0.01570,  0.07794,  0.48266,  0.02268, -0.00235,  0.01623,  0.06047,  0.05355,  0.49356, -0.00203,  0.10480,  0.00335, -0.00192,  0.05984,  0.01570, -0.01662,  0.59422, -0.11243,  0.03041,  0.01572, -0.11089,  0.06719,  0.01844,  1.00000,  0.01570,  0.10398,  0.14763, -0.10165,  0.07197, -0.03402,  0.29350,  0.01213,  0.01568,  0.01136,  0.02090,  0.45764,  0.01666, -0.05750,  0.04221,  0.08317, -0.01546,  0.14137,  0.21237, -0.06562,  0.01040,  0.10757,  0.04822,  0.15399,  0.53299,  0.05620,  0.31391, -0.15275,  0.36133, -0.04790, -0.17057, -0.22032, -0.08035, -0.01839,  0.18124,  0.49304, -0.00037,  0.11675,  0.18503, -0.06137,  0.26608, -0.13355,  0.10780,  0.00269,  0.01740,  0.18291,  0.02201,  0.00101, -0.09938,  0.17483,  0.35446,  0.01688,  0.19582,  0.14103,  0.47890, -0.00176, -0.01562,  0.41197,  0.56271,  0.13120, -0.05557,  0.02048, -0.00147,  0.07919,  0.00984,  0.55601,  0.19792, -0.01146, -0.02845,  0.24855,  0.28873,  0.23550,  0.28536,  0.07438, -0.00475,  0.03149, -0.04730, -0.01372,  0.07347,  0.05486,  0.01570, -0.08708,  0.02985,  0.43453,  0.01572, -0.15806,  0.01706,  0.22325,  0.18262, -0.12259,  0.01760, -0.06631,  0.10596, -0.01594, -0.01882,  0.00812, -0.02769, -0.04607,  0.00251,  0.01568, -0.00386,  0.00107, -0.03342, -0.03844,  0.01552,  0.02761, -0.04019, 
         VSA_EState7,  0.12015, -0.00085, -0.02801, -0.00353, -0.01430, -0.01566,  0.01297, -0.00573, -0.01305,  0.19041, -0.00098,  1.00000, -0.01537,  0.67149, -0.01385,  0.24344, -0.00088, -0.00315,  0.75332, -0.00778, -0.00551, -0.01511, -0.01064,  0.00189,  0.00016,  0.16132,  0.03367,  0.94409, -0.01034, -0.01490, -0.00360, -0.01283,  0.80764, -0.01240, -0.01384, -0.01437, -0.01077, -0.00858, -0.01860, -0.00338,  0.00446,  0.31724,  0.00454,  0.78345,  0.94089, -0.01859, -0.00268,  0.98174, -0.01151, -0.01218, -0.00790,  0.20570, -0.01803, -0.00148, -0.01086,  0.01381, -0.01021, -0.00807, -0.01270, -0.01774,  0.02331, -0.01843,  0.87377, -0.00529,  0.01921, -0.01133, -0.00959,  1.00000,  0.02425, -0.00302, -0.00085, -0.00047,  0.99887,  0.85282, -0.01112, -0.00856,  0.75423,  0.01200, -0.00887,  0.93861, -0.01404,  1.00000, -0.01201,  0.16101, -0.02099,  0.92247,  1.00000, -0.01798,  0.00148,  0.99810,  0.01570,  1.00000, -0.01986,  0.87893, -0.01164, -0.00514, -0.01356,  0.02152, -0.01124,  1.00000,  0.23248,  0.15695, -0.00225, -0.00660, -0.02079,  0.96597,  0.37645, -0.00684,  0.15948,  0.00580,  0.00893,  0.99784,  0.00850,  0.08068, -0.01189,  0.02982,  0.06973,  0.02108,  0.01251,  0.00649, -0.01441,  0.00884,  0.00155,  0.00837, -0.00820, -0.00171, -0.01469, -0.00145,  0.01376,  0.15227, -0.01297, -0.00204, -0.01549,  0.60776,  0.03010,  0.98443,  0.88875,  0.00548, -0.00949, -0.01764, -0.01492, -0.01811,  0.99991, -0.00200, -0.00174,  0.29339, -0.01384, -0.02046, -0.01205, -0.00560,  0.10424, -0.00400, -0.00724, -0.01087,  0.00097, -0.00723, -0.00506, -0.01240,  0.58094, -0.00778,  0.04095,  0.18595,  0.06978, -0.00636,  0.21653,  0.49107,  0.99296, -0.01953, -0.00800, -0.00707, -0.01119,  1.00000, -0.01023, -0.00175, -0.00759,  1.00000, -0.01571, -0.00674,  0.20048, -0.00920, -0.02591,  0.14380, -0.02039, -0.01762, -0.01676, -0.00851,  0.14360,  0.03271,  0.02730,  0.49560,  0.99992,  0.73122,  0.58097,  0.39669,  0.00140,  0.99940, -0.01853, -0.00769, 
         VSA_EState8,  0.25991, -0.04135, -0.00843, -0.01789,  0.20110,  0.18571,  0.05589, -0.06862, -0.01423,  0.19731,  0.02595, -0.01985, -0.01522,  0.13233,  0.03166,  0.05905, -0.01000,  0.05426,  0.00266,  0.06929,  0.63772,  0.00323,  0.25530,  0.19903, -0.12386,  0.11086,  0.08040, -0.04705,  0.08923,  0.04001,  0.05687,  0.26953, -0.05258,  0.11037,  0.07095,  0.08678,  0.02915,  0.06985,  0.18639,  0.04757, -0.02773,  0.15284,  0.18317, -0.08687,  0.10584,  0.27244, -0.03432,  0.00209, -0.09437,  0.20576,  0.09866, -0.06665,  0.02637,  0.08374,  0.00730,  0.01667,  0.12583, -0.06556,  0.13671,  0.14128,  0.07942,  0.14518, -0.01816, -0.02896, -0.06244,  0.11366, -0.03545, -0.01986,  0.32515,  0.12106, -0.03768,  0.05168, -0.02147,  0.00863,  0.10545, -0.06611, -0.02732,  0.00103,  0.08151,  0.01427, -0.03348, -0.01986, -0.00935,  0.04768,  0.05563,  0.00207, -0.01997,  0.03609,  0.12423, -0.02275,  0.10398, -0.01986,  1.00000, -0.02026,  0.22230,  0.16688,  0.01655,  0.08044,  0.09179, -0.01950,  0.13118,  0.13228,  0.04782, -0.03288,  0.10845, -0.01899,  0.10948, -0.10812, -0.12502,  0.51134,  0.09571, -0.02173,  0.03663,  0.43284, -0.09866,  0.20483,  0.05812,  0.09694,  0.06146,  0.26778,  0.15681,  0.00635,  0.20923,  0.03298,  0.08076,  0.03880, -0.04611, -0.08460, -0.02289,  0.12992,  0.22774,  0.36647,  0.07286,  0.03811,  0.02500, -0.03540, -0.03076,  0.04240, -0.02852, -0.06193,  0.09218, -0.09544, -0.01755,  0.09871,  0.06096, -0.00814, -0.14000,  0.28288,  0.06108,  0.00994,  0.26607, -0.05285,  0.15000,  0.09192,  0.00235,  0.14545, -0.05712,  0.42773,  0.07727,  0.03932,  0.17775,  0.18820,  0.17070,  0.03556,  0.06623, -0.04449,  0.00010,  0.20597,  0.11978,  0.06136,  0.15498, -0.01986, -0.03396,  0.10029,  0.09575, -0.01986,  0.08316, -0.02032,  0.17822,  0.02361,  0.23257,  0.01288,  0.11679,  0.07775,  0.07721,  0.06553,  0.02513,  0.01520,  0.01124, -0.03333, -0.01932, -0.01234,  0.02214, -0.00949,  0.04193, -0.02091,  0.11200,  0.01315, 
         VSA_EState9,  0.09374,  0.18483,  0.04285,  0.09034,  0.04464,  0.04200, -0.00263,  0.12975,  0.15911,  0.24783,  0.12757,  0.87893, -0.03457,  0.61905,  0.09744,  0.20794,  0.04877,  0.11367,  0.80997, -0.01363,  0.02584,  0.01232,  0.03158, -0.00441,  0.01601,  0.37261,  0.17948,  0.84228, -0.04545,  0.19762,  0.12939, -0.05443,  0.82395,  0.02141,  0.23656,  0.11064,  0.09277, -0.02529, -0.05087,  0.16233, -0.01764,  0.32235, -0.05389,  0.80548,  0.82143,  0.05748, -0.03083,  0.86663,  0.15982, -0.00516,  0.12861,  0.23094,  0.17019, -0.03124,  0.03158,  0.19894, -0.03867,  0.12485,  0.15178, -0.01571, -0.05324, -0.01310,  0.83897,  0.08966,  0.05850,  0.19611,  0.13729,  0.87893,  0.04105, -0.00076,  0.00778,  0.10806,  0.88674,  0.89667, -0.02839,  0.18578,  0.78762,  0.00806, -0.04190,  0.83209, -0.00361,  0.87893,  0.11854,  0.38279, -0.03788,  0.84748,  0.87908, -0.00002, -0.00235,  0.88199,  0.14763,  0.87893, -0.02026,  1.00000,  0.14701, -0.00875,  0.08577,  0.26580, -0.01259,  0.87898,  0.26545,  0.17326,  0.10343,  0.21065,  0.05980,  0.86026,  0.38529,  0.15611,  0.32638,  0.02265, -0.00975,  0.87921, -0.01739,  0.12402,  0.19465,  0.23671,  0.08588,  0.14834, -0.00963, -0.02448,  0.00363,  0.07804, -0.03728, -0.01151,  0.04850, -0.03516,  0.26884,  0.19352,  0.04480,  0.16992,  0.14464, -0.02588,  0.01443,  0.61153,  0.06409,  0.90944,  0.89545, -0.00181,  0.04228,  0.14903,  0.09106,  0.03096,  0.88076,  0.04275,  0.05754,  0.38739,  0.05625, -0.03105,  0.14938,  0.11939,  0.20644,  0.21058, -0.03620, -0.04383, -0.01384, -0.03609,  0.18573, -0.02572,  0.54599,  0.09275,  0.01332,  0.16338,  0.05102,  0.27833,  0.20976,  0.52017,  0.87757,  0.13997,  0.14107, -0.01908, -0.01761,  0.87893, -0.00420,  0.07610,  0.16458,  0.87894, -0.03948,  0.02998,  0.25313,  0.03019,  0.04806,  0.15252,  0.09128,  0.09429,  0.06688,  0.04154,  0.28618,  0.11849,  0.15417,  0.63346,  0.88058,  0.72203,  0.65606,  0.43918,  0.09570,  0.88478,  0.06367,  0.08987, 
        FractionCSP3, -0.13987,  0.39653,  0.14015, -0.01735, -0.05979, -0.06160,  0.31766,  0.22005,  0.04307, -0.06174,  0.59629, -0.01164, -0.03636, -0.03325,  0.49363, -0.07645,  0.32773,  0.03140,  0.01260,  0.03830,  0.15596,  0.12854,  0.07676,  0.05133,  0.25874,  0.43034,  0.29355, -0.02797, -0.05979,  0.39788,  0.38638, -0.04343,  0.17946,  0.05511,  0.33501,  0.06448,  0.05730,  0.16907,  0.08346,  0.47496, -0.08457, -0.14485,  0.10683, -0.11354, -0.02377,  0.07776,  0.28305,  0.06573,  0.52563,  0.23826,  0.14064, -0.17463,  0.09658, -0.05697,  0.17573, -0.01116,  0.18439, -0.00962,  0.08298,  0.13916,  0.26269,  0.11106,  0.12465,  0.16918,  0.01384,  0.11013,  0.41963, -0.01164, -0.05884, -0.01602,  0.03318,  0.16387,  0.00571,  0.05991,  0.03369,  0.14228,  0.30701, -0.12468,  0.17482,  0.10731,  0.11262, -0.01164,  0.15699, -0.08460,  0.24255, -0.03056, -0.01174,  0.34746,  0.03950, -0.01399, -0.10165, -0.01164,  0.22230,  0.14701,  1.00000,  0.00082,  0.28532,  0.13089,  0.08310, -0.01155,  0.08144,  0.07158,  0.20238,  0.41428,  0.13683, -0.03303, -0.10716,  0.46572, -0.06358, -0.07157,  0.37022, -0.01855, -0.02180, -0.09236,  0.17719, -0.03007, -0.15461,  0.06951,  0.26880,  0.10632,  0.14565,  0.56171,  0.34433,  0.22602,  0.10390, -0.13541, -0.03240,  0.44731, -0.03588,  0.05139,  0.56567, -0.06256,  0.07903, -0.06634, -0.02271,  0.01269,  0.02081,  0.11870,  0.13723,  0.17440,  0.14812,  0.09307, -0.01251, -0.03943,  0.02858, -0.19479,  0.17080,  0.02042,  0.18127,  0.06592, -0.01065,  0.29747,  0.20373,  0.15536, -0.09208,  0.20869, -0.04260, -0.02431, -0.07798,  0.19561, -0.08116, -0.00305, -0.01522, -0.00279,  0.14590,  0.12633, -0.03846,  0.72441,  0.57179,  0.06910,  0.10282, -0.01164,  0.27714,  0.36177,  0.04861, -0.01169,  0.25468,  0.14624, -0.06936,  0.03807,  0.29442,  0.01041,  0.26294,  0.09375,  0.10444,  0.02284,  0.08779,  0.08291,  0.12406,  0.16387, -0.01127,  0.03609,  0.04851,  0.05244,  0.04267, -0.01077,  0.07405,  0.06837, 
      HeavyAtomCount,  0.46916, -0.06968, -0.26457,  0.34739,  0.35035,  0.33339,  0.05656, -0.04709, -0.07413,  0.23404, -0.04747, -0.00514,  0.49641, -0.01670,  0.38578,  0.55330,  0.59729,  0.48017,  0.20669,  0.53571,  0.26482,  0.36714,  0.84410, -0.00916, -0.19837,  0.10583,  0.38192, -0.05013,  0.24661,  0.28661,  0.44309,  0.24030,  0.01857,  0.53070,  0.05039,  0.55680,  0.48751,  0.07967, -0.11736,  0.22940,  0.69508, -0.08268,  0.35696,  0.00585, -0.01974,  0.02949, -0.05581, -0.04351,  0.00529,  0.07115,  0.39569,  0.40802, -0.15078,  0.92682,  0.47755, -0.14627,  0.01701,  0.54750,  0.37121, -0.06697,  0.44302, -0.01196, -0.11849,  0.51520,  0.51317,  0.05928,  0.13502, -0.00514,  0.20368,  0.10043,  0.60901,  0.43973,  0.00077,  0.09716,  0.57060,  0.14056, -0.04932,  0.63723, -0.01339, -0.06741,  0.02601, -0.00514, -0.07976,  0.06631, -0.13710,  0.20924, -0.00494, -0.08641,  0.43907,  0.01861,  0.07197, -0.00514,  0.16688, -0.00875,  0.00082,  1.00000,  0.49184,  0.47538,  0.33093, -0.00536, -0.08275, -0.09929, -0.00341, -0.09008, -0.08365,  0.14173, -0.04297, -0.11981, -0.10751,  0.55311,  0.07853, -0.01107,  0.64424,  0.01451, -0.07125,  0.13900,  0.51947,  0.33378,  0.53345, -0.07966,  0.17512,  0.33927,  0.01127,  0.50232,  0.10553,  0.55082, -0.06997, -0.10750,  0.71574, -0.05445, -0.01964,  0.42083, -0.02076, -0.08830,  0.47371,  0.02656,  0.15256,  0.57251,  0.71186, -0.12453,  0.23935, -0.01260, -0.00010,  0.42538,  0.58570,  0.37733, -0.25072,  0.28357,  0.02332,  0.02022,  0.18521, -0.03753, -0.04312, -0.02782,  0.76561,  0.03941,  0.13586,  0.27173,  0.36422,  0.51081,  0.21798,  0.17214,  0.18269,  0.03402,  0.28341,  0.41364, -0.01509, -0.16169, -0.03864,  0.57735, -0.03666, -0.00514, -0.15554,  0.10735,  0.32744, -0.00517, -0.16865, -0.02465,  0.23539,  0.55318, -0.06838,  0.50487, -0.09057, -0.05671, -0.08734, -0.05969, -0.03760, -0.01993, -0.04036, -0.07333, -0.00613, -0.05165, -0.04626, -0.03860, -0.07798, -0.00684, -0.05949,  0.03792, 
           NHOHCount,  0.34295,  0.02400, -0.05263,  0.62083,  0.09947,  0.09856,  0.18120,  0.15931,  0.02922, -0.04771,  0.09355, -0.01356,  0.42069, -0.03326,  0.82094,  0.60336,  0.88223,  0.43784,  0.40865,  0.71012, -0.00828,  0.61694,  0.68336, -0.01777, -0.01496,  0.15882,  0.63830, -0.05243,  0.02210,  0.46252,  0.73643,  0.00694,  0.02669,  0.73875,  0.14918,  0.76111,  0.44288,  0.02548, -0.10359,  0.15008,  0.02961, -0.11149,  0.04622, -0.07299, -0.03050,  0.01855,  0.10715, -0.03362,  0.21539,  0.06305,  0.59402,  0.51050, -0.02819,  0.40407,  0.74971, -0.01360,  0.08149,  0.63383,  0.10548,  0.00424,  0.15466,  0.01746, -0.04501,  0.72716,  0.70709,  0.12852,  0.11019, -0.01356, -0.11224,  0.06103,  0.09012,  0.62739, -0.00236,  0.13759,  0.63563,  0.10396,  0.01638,  0.00671,  0.08324, -0.05195,  0.00129, -0.01356, -0.01361, -0.03052,  0.05236,  0.24002, -0.01321,  0.03094,  0.08830,  0.02294, -0.03402, -0.01356,  0.01655,  0.08577,  0.28532,  0.49184,  1.00000,  0.57983,  0.47517, -0.01379,  0.02280, -0.03216,  0.09592,  0.03143,  0.02517,  0.15879, -0.07263,  0.01449, -0.03340,  0.01453,  0.20019, -0.01974,  0.07703, -0.04527,  0.00159,  0.04715, -0.04548,  0.60037,  0.25762, -0.01436, -0.02975,  0.28381,  0.13518,  0.20180, -0.00356,  0.40189,  0.01444,  0.00820,  0.65361, -0.10446,  0.05066,  0.00874, -0.09201, -0.08166,  0.69250,  0.06277,  0.17427,  0.13460,  0.76758,  0.03410,  0.27976,  0.07324, -0.00712,  0.08505,  0.21160, -0.06345,  0.06994,  0.02202,  0.05025,  0.06940,  0.11144, -0.02606,  0.08844,  0.07105,  0.54714,  0.08505,  0.08260, -0.07400,  0.45953,  0.82071, -0.08157, -0.06271, -0.09310,  0.05309,  0.38407,  0.62182, -0.02926,  0.21015,  0.07677,  0.64312,  0.00930, -0.01356,  0.09789,  0.43686,  0.15711, -0.01359,  0.05014,  0.04837, -0.05239,  0.73678,  0.01935,  0.67573,  0.03456,  0.02065,  0.00611,  0.01076,  0.11814,  0.14591,  0.07946,  0.04167, -0.01256,  0.05431,  0.05469,  0.09773,  0.00941, -0.00967,  0.01489,  0.18125, 
             NOCount,  0.33063,  0.32414, -0.17960,  0.67722,  0.18701,  0.16552, -0.07560,  0.17574,  0.24665,  0.14308,  0.23153,  0.02152,  0.36707,  0.02758,  0.61688,  0.62357,  0.52522,  0.51390,  0.45467,  0.62942,  0.04219,  0.43883,  0.56969, -0.00387, -0.00011,  0.35226,  0.60250, -0.01032,  0.00025,  0.67797,  0.68601,  0.01769,  0.16212,  0.65680,  0.38852,  0.75174,  0.50599, -0.04074, -0.09400,  0.28252,  0.07641,  0.00105,  0.01075,  0.22416,  0.00308,  0.13283, -0.08807, -0.00737,  0.24250, -0.05387,  0.66752,  0.61714,  0.15874,  0.41197,  0.71805,  0.18555, -0.08609,  0.76157,  0.31092, -0.07512,  0.04763, -0.05435,  0.05663,  0.68003,  0.65754,  0.36613,  0.28847,  0.02152,  0.13224,  0.01529,  0.06956,  0.66944,  0.04492,  0.33527,  0.58037,  0.30653,  0.20273,  0.07800, -0.08263, -0.03044, -0.06248,  0.02152, -0.07457,  0.38730, -0.14127,  0.27842,  0.02202, -0.15904,  0.08815,  0.06432,  0.29350,  0.02152,  0.08044,  0.26580,  0.13089,  0.47538,  0.57983,  1.00000,  0.38227,  0.02143, -0.05216, -0.06524,  0.25844,  0.32239, -0.05578,  0.20697, -0.03309,  0.21544,  0.16476,  0.14951, -0.05119,  0.01859,  0.10668, -0.01525,  0.34532,  0.40808,  0.09541,  0.69890,  0.04700, -0.07702, -0.06159,  0.15214, -0.04247,  0.02596,  0.01272,  0.47973,  0.43214,  0.30993,  0.62557, -0.04079,  0.25235,  0.07024, -0.05623,  0.05420,  0.63382,  0.13190,  0.33451,  0.10601,  0.61348,  0.20499,  0.21501,  0.04679,  0.03062,  0.19275,  0.21416,  0.33870, -0.08196,  0.06924,  0.24945,  0.31816,  0.10537,  0.40480, -0.08053, -0.07999,  0.58979, -0.07813,  0.37172,  0.03632,  0.44717,  0.65872,  0.00896, -0.02515, -0.02707,  0.46198,  0.40066,  0.68406,  0.01353,  0.11358,  0.26954,  0.61249, -0.05590,  0.02152, -0.12693,  0.09233,  0.40131,  0.02151, -0.12411,  0.07105,  0.12954,  0.76064, -0.11984,  0.63747,  0.13712,  0.15141,  0.06347,  0.04515,  0.18300,  0.08209,  0.16550,  0.28621,  0.02225,  0.07816,  0.18594,  0.07467,  0.10471,  0.02691,  0.07869,  0.25169, 
 NumAliphaticCarbocycles,  0.24358,  0.00003,  0.00087,  0.48054, -0.00993, -0.00902,  0.05178,  0.43516,  0.01818, -0.01423,  0.04790, -0.01124,  0.33844,  0.44309,  0.43625,  0.51210,  0.44480,  0.63554,  0.26912,  0.53807,  0.06496,  0.84144,  0.41258,  0.46796,  0.02659, -0.01504,  0.42275, -0.01398,  0.04882,  0.49833,  0.41332,  0.29946,  0.21171,  0.52541, -0.02132,  0.44325,  0.65077,  0.47383, -0.00399, -0.02694, -0.00126,  0.06335,  0.00662, -0.01239,  0.00442,  0.63734,  0.01002,  0.00098,  0.02812,  0.14998,  0.27839,  0.40250, -0.01270,  0.27957,  0.57081,  0.01860,  0.16589,  0.44102,  0.00836,  0.72789,  0.01242,  0.76742,  0.00660,  0.44077,  0.53952,  0.06336, -0.02674, -0.01124, -0.00862,  0.04289, -0.00523,  0.30067, -0.00263,  0.11482,  0.46800,  0.00360, -0.02091, -0.01975,  0.54024,  0.01061, -0.05197, -0.01124, -0.02696, -0.00975,  0.17082,  0.16155, -0.01085,  0.05083, -0.05863,  0.02045,  0.01213, -0.01124,  0.09179, -0.01259,  0.08310,  0.33093,  0.47517,  0.38227,  1.00000, -0.01120,  0.65552,  0.68409,  0.04167,  0.03539,  0.01444,  0.12438,  0.10680,  0.01889,  0.07968,  0.03384,  0.05448, -0.01634, -0.00825,  0.01607,  0.45841,  0.00983, -0.02707,  0.46351,  0.01170,  0.03697, -0.06235,  0.01744,  0.01058,  0.01694, -0.09725,  0.38999,  0.03576, -0.01354,  0.41666, -0.03791,  0.06984, -0.00566, -0.09790,  0.09243,  0.50078,  0.03250,  0.10560,  0.01115,  0.47343,  0.41087,  0.04869,  0.09441, -0.00464, -0.03817, -0.02581, -0.01010,  0.03916,  0.01200, -0.03780, -0.01115,  0.07283, -0.03827,  0.16268,  0.53415,  0.42897,  0.17251,  0.31741, -0.01213,  0.60439,  0.42653, -0.03248, -0.03161, -0.02801,  0.03600,  0.77406,  0.59475, -0.01152,  0.07636,  0.06145,  0.51526,  0.73311, -0.01124, -0.00163,  0.06626, -0.04549, -0.01122,  0.03859,  0.62666, -0.01863,  0.56650,  0.00811,  0.49715,  0.58305,  0.64954,  0.65040,  0.69266,  0.58301,  0.67222,  0.62113,  0.35952, -0.00338,  0.43861,  0.40955,  0.60637,  0.63772,  0.00773,  0.64586,  0.74337, 
